?prop,?propLabel,?oCount
<http://www.wikidata.org/entity/P144>,"""based on""@en",3451
<http://www.wikidata.org/entity/P1212>,"""Atlas ID""@en",3427
<http://www.wikidata.org/entity/P4643>,"""Philadelphia Museum of Art work ID""@en",3208
<http://www.wikidata.org/entity/P9144>,"""National Portrait Gallery (London) artwork ID""@en",3071
<http://www.wikidata.org/entity/P4610>,"""ARTIC artwork ID""@en",3011
<http://www.wikidata.org/entity/P8922>,"""Amsterdam Museum ID""@en",2964
<http://www.wikidata.org/entity/P1889>,"""different from""@en",2844
<http://www.wikidata.org/entity/P4905>,"""KMSKA work PID""@en",2831
<http://www.wikidata.org/entity/P8906>,"""National Gallery of Ireland ID""@en",2760
<http://www.wikidata.org/entity/P7847>,"""DigitaltMuseum ID""@en",2630
<http://www.wikidata.org/entity/P4144>,"""Athenaeum artwork ID""@en",2510
<http://www.wikidata.org/entity/P5499>,"""Boijmans work ID""@en",2508
<http://www.wikidata.org/entity/P8960>,"""Kunsthistorisches Museum Wien ID""@en",2453
<http://www.wikidata.org/entity/P6152>,"""National Portrait Gallery (United States) object ID""@en",2449
<http://www.wikidata.org/entity/P4692>,"""American Art Collaborative object ID""@en",2412
<http://www.wikidata.org/entity/P6738>,"""Whitney Museum of American Art artwork ID""@en",2397
<http://www.wikidata.org/entity/P5783>,"""Cranach Digital Archive artwork ID""@en",2361
<http://www.wikidata.org/entity/P8907>,"""Auckland Art Gallery artwork ID""@en",2354
<http://www.wikidata.org/entity/P4627>,"""EK number""@en",2353
<http://www.wikidata.org/entity/P4611>,"""LACMA ID""@en",2233
<http://www.wikidata.org/entity/P8598>,"""Seattle Art Museum ID""@en",2215
<http://www.wikidata.org/entity/P6805>,"""Art Gallery of South Australia work ID""@en",2196
<http://www.wikidata.org/entity/P2014>,"""Museum of Modern Art work ID""@en",2132
<http://www.wikidata.org/entity/P4738>,"""Yale Center for British Art artwork ID""@en",2102
<http://www.wikidata.org/entity/P6007>,"""Salons ID""@en",2089
<http://www.wikidata.org/entity/P4674>,"""Indianapolis Museum of Art artwork ID""@en",2051
<http://www.wikidata.org/entity/P4673>,"""Museum of Fine Arts, Houston object ID""@en",2007
<http://www.wikidata.org/entity/P2079>,"""fabrication method""@en",1883
<http://www.wikidata.org/entity/P10750>,"""Database of Art Objects at the Jeu de Paume ID""@en",1855
